group,net_id,tde,gradient1,gradient2,gradient3,network,himoshpere,node
MDD,7Networks_LH_Cont_Par_4,-0.011239,-4.946415605456445,-0.4979056911371546,-5.6983414455418755,control,LH,Cont_Par_4
MDD,7Networks_LH_Cont_Par_5,-0.042034,-2.002105596813119,-0.6794573623821332,-5.98028024230844,control,LH,Cont_Par_5
MDD,7Networks_LH_Cont_Par_6,-0.085427,6.748798077393398,4.678509350800838,-7.509035538652029,control,LH,Cont_Par_6
MDD,7Networks_LH_Cont_Temp_1,0.13365,-9.115093287363305,-4.488686613256034,-3.6619016498300936,control,LH,Cont_Temp_1
MDD,7Networks_LH_Cont_OFC_1,0.064419,-13.330076814426244,-9.98575678225555,-0.7779125675036105,control,LH,Cont_OFC_1
MDD,7Networks_LH_Cont_PFCl_1,0.0365,-13.204665194619169,-10.967389469497887,-2.758492021222187,control,LH,Cont_PFCl_1
MDD,7Networks_LH_Cont_PFCl_2,-0.094208,-2.4518148790004326,-4.5309922704919146,-4.735584798607897,control,LH,Cont_PFCl_2
MDD,7Networks_LH_Cont_PFCl_3,0.10605,-6.543614099545783,-7.929083740275248,-3.5257779304902503,control,LH,Cont_PFCl_3
MDD,7Networks_LH_Cont_PFCl_4,0.15119,-13.56147423614946,-12.292897177603804,-1.6467959863823542,control,LH,Cont_PFCl_4
MDD,7Networks_LH_Cont_PFCl_5,0.011199,6.153060878621135,-2.8677871817979548,-2.8375568979976857,control,LH,Cont_PFCl_5
MDD,7Networks_LH_Cont_PFCl_6,-0.16942,-8.449856254592074,-6.592098128086539,-4.451560175722313,control,LH,Cont_PFCl_6
MDD,7Networks_LH_Cont_PFCl_7,-0.25803,-6.813917531847039,-3.830933688782994,-4.6713394366827465,control,LH,Cont_PFCl_7
MDD,7Networks_LH_Cont_PFCl_8,0.04041,-12.022806094495982,-10.256754514261155,-3.2168907137797853,control,LH,Cont_PFCl_8
MDD,7Networks_LH_Cont_PFCv_1,-0.2051,-4.721822015691104,-10.398188719261006,1.107246531011487,control,LH,Cont_PFCv_1
MDD,7Networks_LH_Cont_pCun_1,0.32304,-13.537820599981194,10.20252300271713,0.721274211704936,control,LH,Cont_pCun_1
MDD,7Networks_LH_Cont_pCun_2,0.30777,-13.854543985004572,4.838519398044873,0.41122816011735014,control,LH,Cont_pCun_2
MDD,7Networks_LH_Cont_Cing_1,0.17089,-4.961653511999851,-9.911192795056282,-0.3945460727558232,control,LH,Cont_Cing_1
